WELL ID,GROUND ELEV,NORTHING,EASTING,GROUNDWATER ELEV,TEST DATE,APPDX H PAGE #,,CONFLICTING GROUNDWATER ELEV VALUE IN TABLE 10-5
,,,,,,,,
AB-20D,646.57,524964.84,1396758.69,636.41,25-Jun-2015,3,,
AB-20S,646.74,524970.53,1396759.63,636.88,25-Jun-2015,9,,
AB-21BR,644.66,524738.89,1398290.74,635.69,25-Jun-2015,10,,
AB-21D,644.70,524739.11,1398296.52,635.70,25-Jun-2015,18,,
AB-21S,644.82,524740.26,1398306.99,635.61,25-Jun-2015,25,,
AB-21SL,644.78,524740.51,1398302.56,635.91,25-Jun-2015,26,,
AB-22D,645.11,524916.43,1400273.56,599.04,25-Jun-2015,28,,
AB-22S,645.16,524921.09,1400273.79,595.01,25-Jun-2015,35,,
AB-23BRU,643.60,525580.33,1398488.24,526.26,25-Jun-2015,39,,
AB-23S,643.78,525583.88,1398467.74,636.29,25-Jun-2015,45,,
AB-24D,645.05,526162.84,1398769.18,634.68,26-Jun-2015,47,,
AB-24S,644.89,526175.48,1398769.28,636.84,26-Jun-2105,53,,
AB-24SL,645.02,526169.17,1398769.43,637.13,26-Jun-2015,54,,
AB-25BR,644.39,526171.41,1399445.35,636.49,26-Jun-2015,56,,
AB-25BRU,644.41,526176.80,1399444.96,636.57,26-Jun-2015,63,,
AB-25S,644.46,526187.94,1399446.45,639.92,26-Jun-2015,68,,
AB-25SL,644.45,526182.95,1399446.13,637.01,26-Jun-2015,69,,
AB-26D,643.55,526169.32,1400299.86,583.61,25-Jun-2015,71,,
AB-26S,643.50,526162.31,1400297.16,582.05,25-Jun-2015,79,,
AB-27D,643.54,526924.04,1399826.60,617.22,25-Jun-2015,83,,
AB-27S,643.53,526924.00,1399819.36,638.76,25-Jun-2015,88,,
AB-28D,644.32,526856.21,1399114.72,629.26,25-Jun-2015,89,,
AB-28S,644.35,526855.23,1399109.48,640.98,25-Jun-2015,96,,
AB-29D,620.59,527156.38,1399802.12,612.71,25-Jun-2015,97,,
AB-29S,620.60,527157.39,1399812.91,611.08,25-Jun-2015,102,,
AB-29SL,620.59,527157.06,1399807.64,611.37,25-Jun-2015,103,,
AB-30D,621.53,527093.69,1399073.65,619.54,25-Jun-2015,105,,
AB-30S,621.46,527093.94,1399081.26,617.85,25-Jun-2015,112,,
AB-31D,627.43,527632.78,1400475.00,578.91,25-Jun-2015,113,,
AB-31S,627.40,527638.54,1400475.19,577.90,25-Jun-2015,119,,
AB-32D,624.63,528139.15,1400491.68,577.00,25-Jun-2015,122,,
AB-32S,624.70,528145.19,1400492.08,582.74,25-Jun-2015,128,,
AB-33D,624.27,528418.78,1399662.14,593.95,26-Jun-2015,131,,
AB-33S,623.96,528412.71,1399660.97,600.39,26-Jun-2015,137,,
AB-34D,633.17,527985.77,1398800.76,611.73,25-Jun-2015,139,,
AB-34S,633.16,527978.64,1398800.46,612.65,25-Jun-2015,146,,
AB-35BR,661.73,527568.09,1398178.34,620.57,26-Jun-2015,148,,
AB-35D,661.65,527569.06,1398169.55,620.47,26-Jun-2015,157,,
AB-35S,661.62,527569.89,1398175.10,619.80,26-Jun-2015,164,,
AB-36D,624.02,527601.00,1397268.43,620.93,25-Jun-2015,167,,
AB-36S,624.09,527599.84,1397261.61,620.23,25-Jun-2015,172,,
AB-37D,624.89,527634.75,1396738.90,622.69,25-Jun-2015,173,,
AB-37S,624.88,527637.90,1396742.38,621.13,25-Jun-2015,176,,
AB-38D,631.32,528656.29,1397550.45,624.26,26-Jun-2015,177,,
AB-38S,631.47,528659.00,1397556.20,624.70,26-Jun-2015,181,,
AB-39D,620.60,527157.39,1399812.91,605.84,26-Jun-2015,183,,619.72
AB-39S,634.42,528645.78,1398373.98,619.67,26-Jun-2015,187,,
BG-1D,691.93,523296.60,1396799.34,635.67,25-Jun-2015,189,,
BG-1S,692.38,523301.49,1396799.30,635.48,25-Jun-2015,195,,
BG-2BR,641.44,528793.92,1395229.00,533.83,25-Jun-2015,198,,
BG-2D,641.33,528797.04,1395225.05,587.13,25-Jun-2015,205,,
BG-2S,641.41,528799.49,1395218.22,589.68,25-Jun-2015,210,,
BG-3D,671.99,530292.81,1395436.71,607.76,26-Jun-2015,213,,
BG-3S,672.50,530297.38,1395442.04,605.53,26-Jun-2015,218,,
GWA-1BR,625.72,523655.00,1399520.45,614.27,25-Jun-2015,222,,
GWA-1D,626.53,523653.02,1399504.38,614.73,25-Jun-2015,228,,
GWA-1S,626.53,523653.79,1399508.75,615.24,25-Jun-2015,232,,
GWA-2D,576.57,523815.05,1400345.47,573.27,25-Jun-2015,233,,
GWA-2S,576.15,523812.22,1400353.25,570.53,25-Jun-2015,239,,
GWA-3BR,580.66,526135.61,1400483.77,573.69,25-Jun-2015,241,,
GWA-3D,580.47,526121.37,1400483.88,573.82,25-Jun-2015,249,,
GWA-3S,580.59,526128.48,1400484.31,571.48,25-Jun-2015,256,,
GWA-4D,580.45,527595.45,1400641.07,570.83,26-Jun-2015,257,,
GWA-4S,581.30,528165.11,140065.44,572.48,26-Jun-2015,261,,571.72
GWA-5BR,581.27,528156.95,1400653.57,562.37,26-Jun-2015,262,,
GWA-5D,581.17,528173.28,1400654.34,571.24,26-Jun-2015,269,,
GWA-5S,581.30,528165.11,1400654.44,567.19,26-Jun-2015,275,,
GWA-6BR,628.24,529035.85,1399117.10,588.56,26-Jun-2015,277,,
GWA-6D,628.85,529039.97,1399093.63,586.68,26-Jun-2015,285,,
GWA-6S,628.54,529041.79,1399102.80,597.31,26-Jun-2015,291,,
GWA-7D,591.69,529487.89,1399021.00,577.31,26-Jun-2015,293,,
GWA-7S,592.40,529478.47,1399022.18,582.40,26-Jun-2015,299,,
GWA-8D,673.58,529525.30,1397773.72,610.61,26-Jun-2015,301,,
GWA-8SA,673.43,529530.38,1397776.26,608.70,26-Jun-2015,311,,
GWA-9D,644.39,525022.91,1396566.40,636.70,25-Jun-2015,315,,
GWA-9S,644.63,525017.56,1396564.56,635.68,25-Jun-2015,320,,
GWA-14D,653.51,526981.04,1396843.66,626.04,25-Jun-2015,321,,
GWA-14S,653.80,526979.86,1396838.78,627.66,25-Jun-2015,327,,
GWA-15D,633.49,527474.29,1396447.25,625.87,25-Jun-2015,329,,
GWA-15S,633.05,527479.25,1396447.37,625.80,25-Jun-2015,333,,
