WELL ID,GROUND ELEV,GROUNDWATER ELEV,TEST DATE,,LAT*,LON*,APPROX LAT**,APPROX LON**
AB-1R,673.57,621.76,25-Jun-2015,,35.187047,-81.018833,,
AB-4D,646.98,NULL,25-Jun-2015,,35.177678,-81.019057,,
AB-4S,647.94,637.83,25-Jun-2015,,35.177688,-81.019038,,
AB-9D,580.37,568.23,25-Jun-2015,,35.18175,-81.006047,,
AB-9S,580.54,570.14,25-Jun-2015,,35.181769,-81.006056,,
AB-10D,572.41,565.91,25-Jun-2015,,35.175727,-81.005908,,
AB-10S,572.61,565.97,25-Jun-2015,,35.175702,-81.005947,,
AB-11D,615.39,609.44,25-Jun-2015,,35.171103,-81.01108,,
AB-12D,649.71,637.97,25-Jun-2015,,35.173528,-81.019554,,
AB-12S,649.64,636.09,25-Jun-2015,,35.173678,-81.019578,,
AB-13D,645.89,637.96,25-Jun-2015,,35.178942,-81.016516,,
AB-13S,645.98,637.87,25-Jun-2015,,35.17896,-81.016494,,
AB-14D,639.36,624.68,25-Jun-2015,,35.181736,-81.019157,,
AB-2,635.70,621.33,25-Jun-2015,,,,35.181731,-81.016739
AB-2D,635.20,621.53,25-Jun-2015,,,,35.181626,-81.016546
AB-5,674.10,637.08,25-Jun-2015,,,,35.172716,-81.01587
AB-6A,577.30,NULL,25-Jun-2015,,,,35.175391,-81.005989
AB-6R,577.80,571.52,25-Jun-2015,,,,35.175347,-81.006032
